product_id,product_name,category,unit_price,quantity_in_stock,reorder_level,supplier,last_restocked,warehouse_location
PROD-00001,Product Toys 0,Clothing,186.19,328.0,52.0,Supplier A,2022-02-08,Warehouse A
PROD-00002,Product Clothing 1,Home & Garden,275.7,465.0,87.0,Supplier D,2022-03-30,Warehouse A
PROD-00003,Product Electronics 2,Clothing,163.6,521.0,83.0,Supplier C,2022-09-13,Warehouse B
PROD-00004,Product Home & Garden 3,Sports,452.87,611.0,73.0,Supplier A,,
PROD-00005,Product Clothing 4,Books,,810.0,41.0,Supplier D,2022-11-14,Warehouse A
PROD-00006,Product Electronics 5,Clothing,294.15,,29.0,Supplier C,2022-03-25,
PROD-00007,Product Electronics 6,Toys,321.68,217.0,24.0,,2022-12-25,Warehouse A
PROD-00008,Product Home & Garden 7,Books,276.47,953.0,36.0,,2022-08-03,Warehouse A
PROD-00009,Product Home & Garden 8,Electronics,344.88,867.0,92.0,Supplier D,,Warehouse C
PROD-00010,Product Home & Garden 9,Books,11.43,833.0,36.0,Supplier D,2022-03-06,Warehouse A
PROD-00011,Product Home & Garden 10,Home & Garden,79.3,459.0,88.0,Supplier A,2022-09-20,Warehouse C
PROD-00012,Product Sports 11,Sports,173.81,,73.0,Supplier A,2022-08-13,Warehouse B
PROD-00013,Product Toys 12,Sports,,801.0,12.0,Supplier C,2022-07-10,
PROD-00014,Product Electronics 13,Sports,6.33,519.0,20.0,,,
PROD-00015,Product Sports 14,Books,197.62,857.0,,Supplier C,2022-06-22,Warehouse A
PROD-00016,Product Books 15,Clothing,259.14,864.0,,Supplier D,2022-04-04,Warehouse B
PROD-00017,Product Books 16,Electronics,414.42,604.0,,,2022-01-06,Warehouse C
PROD-00018,Product Toys 17,Sports,46.93,694.0,88.0,,2022-06-16,Warehouse A
PROD-00019,Product Sports 18,Clothing,159.77,558.0,21.0,Supplier A,,Warehouse B
PROD-00020,Product Sports 19,Sports,15.16,967.0,62.0,Supplier A,2022-12-17,Warehouse B
PROD-00021,Product Sports 20,Toys,228.97,502.0,34.0,Supplier D,2022-10-12,Warehouse C
PROD-00022,Product Electronics 21,Books,70.11,264.0,85.0,Supplier B,2022-03-06,Warehouse A
PROD-00023,Product Clothing 22,Home & Garden,310.32,47.0,48.0,Supplier C,2022-07-10,
PROD-00024,Product Home & Garden 23,Electronics,248.42,571.0,,Supplier A,2022-10-20,Warehouse B
PROD-00025,Product Home & Garden 24,Electronics,475.81,,46.0,,2022-02-09,
PROD-00026,Product Toys 25,Toys,,,98.0,Supplier B,2022-09-14,
PROD-00027,Product Toys 26,Toys,393.91,,78.0,Supplier A,2022-11-01,Warehouse C
PROD-00028,Product Electronics 27,Clothing,453.34,277.0,,Supplier A,,Warehouse C
PROD-00029,Product Toys 28,Books,232.16,719.0,86.0,,,
PROD-00030,Product Clothing 29,Books,363.32,136.0,51.0,Supplier C,2022-05-25,Warehouse C
PROD-00031,Product Toys 30,Home & Garden,445.53,731.0,18.0,,,
PROD-00032,Product Clothing 31,Home & Garden,124.85,714.0,74.0,Supplier C,2022-01-21,Warehouse C
PROD-00033,Product Toys 32,Home & Garden,369.71,693.0,33.0,Supplier A,2022-12-11,Warehouse B
PROD-00034,Product Books 33,Sports,329.53,,32.0,Supplier A,2022-06-12,
PROD-00035,Product Electronics 34,Clothing,388.13,670.0,51.0,Supplier D,2022-02-20,Warehouse A
PROD-00036,Product Electronics 35,Sports,84.45,385.0,23.0,Supplier B,2022-02-12,Warehouse A
PROD-00037,Product Books 36,Electronics,353.88,44.0,80.0,,2022-09-19,Warehouse B
PROD-00038,Product Toys 37,Sports,146.16,,31.0,Supplier C,2022-12-15,Warehouse B
PROD-00039,Product Electronics 38,Home & Garden,,937.0,44.0,Supplier C,2022-07-04,Warehouse C
PROD-00040,Product Electronics 39,Home & Garden,88.85,,66.0,Supplier B,2022-04-23,Warehouse C
PROD-00041,Product Home & Garden 40,Clothing,271.08,675.0,84.0,Supplier A,2022-05-11,Warehouse A
PROD-00042,Product Toys 41,Books,235.06,377.0,87.0,Supplier C,2022-02-24,Warehouse B
PROD-00043,Product Sports 42,Toys,189.67,558.0,57.0,Supplier C,2022-01-13,
PROD-00044,Product Home & Garden 43,Books,323.17,948.0,52.0,Supplier C,2022-07-20,
PROD-00045,Product Sports 44,Sports,176.4,532.0,61.0,Supplier D,2022-08-15,Warehouse C
PROD-00046,Product Sports 45,Books,438.58,600.0,38.0,,2022-11-25,Warehouse B
PROD-00047,Product Toys 46,Sports,,769.0,87.0,Supplier A,2022-08-21,Warehouse B
PROD-00048,Product Electronics 47,Electronics,388.16,467.0,16.0,,2022-01-02,Warehouse B
PROD-00049,Product Toys 48,Clothing,448.61,152.0,11.0,,2022-09-26,Warehouse A
PROD-00050,Product Books 49,Books,209.31,913.0,12.0,Supplier A,2022-06-08,Warehouse A
PROD-00051,Product Clothing 50,Books,380.24,805.0,,Supplier B,,Warehouse C
PROD-00052,Product Sports 51,Clothing,210.88,557.0,77.0,Supplier D,2022-06-07,Warehouse A
PROD-00053,Product Sports 52,Home & Garden,,769.0,91.0,Supplier A,2022-10-27,
PROD-00054,Product Toys 53,Electronics,300.58,224.0,70.0,,2022-01-19,Warehouse B
PROD-00055,Product Clothing 54,Toys,234.58,,44.0,Supplier D,2022-04-12,Warehouse A
PROD-00056,Product Electronics 55,Home & Garden,297.45,,,Supplier C,2022-10-12,Warehouse C
PROD-00057,Product Home & Garden 56,Clothing,281.4,974.0,61.0,Supplier D,,Warehouse A
PROD-00058,Product Clothing 57,Clothing,442.3,60.0,77.0,Supplier D,2022-07-17,Warehouse B
PROD-00059,Product Toys 58,Home & Garden,78.64,74.0,31.0,Supplier A,2022-10-23,
PROD-00060,Product Electronics 59,Books,,198.0,82.0,Supplier C,2022-03-18,Warehouse A
PROD-00061,Product Clothing 60,Toys,487.77,176.0,40.0,,2022-07-15,Warehouse B
PROD-00062,Product Electronics 61,Sports,284.55,285.0,77.0,,2022-09-15,
PROD-00063,Product Books 62,Books,186.04,510.0,31.0,Supplier D,2022-12-20,Warehouse A
PROD-00064,Product Sports 63,Sports,201.11,456.0,25.0,Supplier D,2023-01-01,
PROD-00065,Product Books 64,Clothing,201.44,350.0,38.0,,,Warehouse B
PROD-00066,Product Clothing 65,Clothing,387.62,204.0,93.0,Supplier B,2022-10-04,
PROD-00067,Product Books 66,Toys,32.14,435.0,67.0,Supplier D,2022-09-24,Warehouse C
PROD-00068,Product Toys 67,Books,,679.0,90.0,Supplier B,,
PROD-00069,Product Electronics 68,Electronics,376.09,496.0,,Supplier A,2022-05-05,Warehouse B
PROD-00070,Product Electronics 69,Toys,,767.0,48.0,Supplier B,2022-07-02,Warehouse B
PROD-00071,Product Sports 70,Sports,343.32,108.0,52.0,Supplier D,,Warehouse B
PROD-00072,Product Toys 71,Home & Garden,445.79,184.0,93.0,Supplier D,2022-11-22,Warehouse C
PROD-00073,Product Books 72,Books,397.2,55.0,28.0,,2022-03-19,Warehouse C
PROD-00074,Product Clothing 73,Sports,487.31,869.0,20.0,Supplier D,2022-10-26,Warehouse B
PROD-00075,Product Electronics 74,Sports,376.71,162.0,76.0,Supplier D,2022-11-16,Warehouse A
